0,0,1
Apgar,48.5277,-113.9932
St. Mary,48.678,-113.8187
Sprague Creek,48.8288,-114.2027
Bowman Lake,48.6019,-113.3828
Many Glacier,48.5478,-113.9853
Two Medicine,48.9358,-114.3456
Cut Bank,48.6985,-114.1917
Kintla Lake,48.7967,-113.6773
Fish Creek,48.7214,-114.2245
Rising Sun,48.6954,-113.5214
Avalanche,48.6064,-113.8855
Logging Creek,48.7532,-113.4414
Quartz Creek,48.4915,-113.3646
