date,aqi,Main Pollutant,ozone,PM10,PM25,date_aqi
2000-03-21,65,PM10,39,65,30,03/21/2000
2000-03-22,57,PM10,32,57,37,03/22/2000
2000-03-23,40,Ozone,40,28,37,03/23/2000
2000-03-24,51,PM10,41,51,37,03/24/2000
2000-03-25,45,PM10,38,45,37,03/25/2000
2000-03-26,43,Ozone,43,42,30,03/26/2000
2000-03-27,53,PM10,44,53,23,03/27/2000
2000-03-28,33,Ozone,33,10,17,03/28/2000
2000-03-29,29,Ozone,29,9,27,03/29/2000
2000-03-30,37,Ozone,37,32,38,03/30/2000
2000-03-31,62,PM10,42,62,49,03/31/2000
2000-04-01,48,PM10,40,48,43,04/01/2000
2000-04-02,41,Ozone,41,20,37,04/02/2000
2000-04-03,43,PM10,39,43,32,04/03/2000
2000-04-04,64,PM10,33,64,26,04/04/2000
2000-04-05,42,Ozone,42,21,20,04/05/2000
2000-04-06,35,Ozone,35,16,15,04/06/2000
2000-04-07,43,Ozone,43,33,23,04/07/2000
2000-04-08,42,Ozone,42,34,31,04/08/2000
2000-04-09,40,PM2.5,38,31,40,04/09/2000
2000-04-10,51,PM10,37,51,43,04/10/2000
2000-04-11,46,PM10,39,46,46,04/11/2000
2000-04-12,50,PM2.5,38,42,50,04/12/2000
2000-04-13,38,Ozone,38,15,52,04/13/2000
2000-04-14,37,Ozone,37,7,55,04/14/2000
2000-04-15,58,PM2.5,29,23,58,04/15/2000
2000-04-16,21,Ozone,21,19,48,04/16/2000
2000-04-17,31,Ozone,31,24,38,04/17/2000
2000-04-18,39,Ozone,39,38,29,04/18/2000
2000-04-19,41,Ozone,41,37,29,04/19/2000
2000-04-20,48,PM10,45,48,29,04/20/2000
2000-04-21,39,Ozone,39,31,29,04/21/2000
2000-04-22,32,Ozone,32,23,27,04/22/2000
2000-04-23,42,Ozone,42,16,26,04/23/2000
2000-04-24,44,Ozone,44,28,25,04/24/2000
2000-04-25,38,Ozone,38,21,26,04/25/2000
2000-04-26,48,Ozone,48,20,27,04/26/2000
2000-04-27,28,PM2.5,41,28,28,04/27/2000
2000-04-28,35,Ozone,35,18,30,04/28/2000
