"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2007","19","PM10","White Fish Dead End","30-029-0009","AQS","13","19","19","."
"01/02/2007","33","CO","Moose's","30-029-0010","AQS","33","32","18","."
"01/03/2007","40","PM2.5","White Fish Dead End","30-029-0009","AQS","20","30","13","40"
"01/04/2007","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","30","11","."
"01/05/2007","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","32","19","."
"01/06/2007","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","32","12","13"
"01/07/2007","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","32","13","."
"01/08/2007","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","27","31","18","."
"01/09/2007","49","PM2.5","White Fish Dead End","30-029-0009","AQS","23","38","16","49"
"01/10/2007","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","37","8","."
"01/11/2007","35","PM10","White Fish Dead End","30-029-0009","AQS","15","32","35","."
"01/12/2007","52","PM2.5","White Fish Dead End","30-029-0009","AQS","16","28","45","52"
"01/13/2007","29","PM10","White Fish Dead End","30-029-0009","AQS","14","29","29","."
"01/14/2007","22","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","22","15","."
"01/15/2007","46","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","16","24","15","46"
"01/16/2007","23","PM10","White Fish Dead End","30-029-0009","AQS","18","21","23","."
"01/17/2007","23","PM10","White Fish Dead End","30-029-0009","AQS","22","23","23","."
"01/18/2007","52","PM2.5","White Fish Dead End","30-029-0009","AQS","19","28","19","52"
"01/19/2007","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","20","21","16","."
"01/20/2007","25","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","25","12","."
"01/21/2007","46","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","16","24","14","46"
"01/22/2007","22","CO","Moose's","30-029-0010","AQS","22","21","12","."
"01/23/2007","23","CO","Moose's","30-029-0010","AQS","23","18","17","."
"01/24/2007","59","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","24","14","18","59"
"01/25/2007","18","CO","Moose's","30-029-0010","AQS","18","16","13","."
"01/26/2007","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","28","13","."
"01/27/2007","52","PM2.5","White Fish Dead End","30-029-0009","AQS","14","27","42","52"
"01/28/2007","33","PM10","White Fish Dead End","30-029-0009","AQS","14","24","33","."
"01/29/2007","31","PM10","White Fish Dead End","30-029-0009","AQS","18","19","31","."
"01/30/2007","54","PM10","White Fish Dead End","30-029-0009","AQS","16","20","54","25"
"01/31/2007","24","PM10","Kalispell Flathead Electric","30-029-0047","AQS","17","20","24","."
"02/01/2007","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","33","14","."
"02/02/2007","58","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","22","23","21","58"
"02/03/2007","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","20","29","28","."
"02/04/2007","23","PM10","White Fish Dead End","30-029-0009","AQS","20","18","23","."
"02/05/2007","68","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","20","11","29","68"
"02/06/2007","24","CO","Moose's","30-029-0010","AQS","24","13","16","."
"02/07/2007","20","CO","Moose's","30-029-0010","AQS","20","18","18","."
"02/08/2007","55","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","18","19","17","55"
"02/09/2007","22","CO","Moose's","30-029-0010","AQS","22","19","19","."
"02/10/2007","16","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","16","14","."
"02/11/2007","40","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","18","25","12","40"
"02/12/2007","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","24",".","."
"02/13/2007","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","24","19","."
"02/14/2007","80","PM2.5","White Fish Dead End","30-029-0009","AQS","16","23","28","80"
"02/15/2007","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","29","19","."
"02/16/2007","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","37","31","."
"02/17/2007","41","PM2.5","White Fish Dead End","30-029-0009","AQS","18","33","29","41"
"02/18/2007","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","36","8","."
"02/19/2007","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","35","10","."
"02/20/2007","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","34","6","12"
"02/21/2007","40","PM10","Kalispell Flathead Electric","30-029-0047","AQS","14","34","40","."
"02/22/2007","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","31","6","."
"02/23/2007","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","35","22","33"
"02/24/2007","46","PM10","White Fish Dead End","30-029-0009","AQS","14","38","46","."
"02/25/2007","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","33","19","."
"02/26/2007","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","31","10","30"
"02/27/2007","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","34","29","."
"02/28/2007","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","31","13","."
"03/01/2007","50","PM2.5","White Fish Dead End","30-029-0009","AQS",".","40","19","50"
"03/02/2007","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","39","22","."
"03/03/2007","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","33","32","."
"03/04/2007","52","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","14","30","27","52"
"03/05/2007","41","PM10","Kalispell Flathead Electric","30-029-0047","AQS","19","12","41","."
"03/06/2007","39","PM10","White Fish Dead End","30-029-0009","AQS","17","38","39","."
"03/07/2007","59","PM10","White Fish Dead End","30-029-0009","AQS","19","31","59","56"
"03/08/2007","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","38","29","."
"03/09/2007","65","PM10","White Fish Dead End","30-029-0009","AQS","13","42","65","."
