"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2003","22","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","22","19","8","."
"01/02/2003","24","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","24","19","8","."
"01/03/2003","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","35","12","9"
"01/04/2003","23","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","23","15","15","."
"01/05/2003","30","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","30","11","9","."
"01/06/2003","25","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","25","17","17","14"
"01/07/2003","16","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","16","5","."
"01/08/2003","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","30","5","."
"01/09/2003","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","32","22","4"
"01/10/2003","31","PM10","White Fish Dead End","30-029-0009","AQS","22","23","31","."
"01/11/2003","27","PM10","White Fish Dead End","30-029-0009","AQS","15","19","27","."
"01/12/2003","37","PM2.5","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","6","31","37"
"01/13/2003","28","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","28","5","12","."
"01/14/2003","20","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","20","6","8","."
"01/15/2003","23","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","23","15","15","19"
"01/16/2003","22","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","22","15","18","."
"01/17/2003","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","20","21","12","."
"01/18/2003","28","PM2.5","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","21","14","28"
"01/19/2003","14","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","14","13","13","."
"01/20/2003","32","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","32","18","15","."
"01/21/2003","63","PM2.5","White Fish Dead End","30-029-0009","AQS","27","27","31","63"
"01/22/2003","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","27","7","."
"01/23/2003","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","27","13","."
"01/24/2003","53","PM2.5","White Fish Dead End","30-029-0009","AQS","30","22","17","53"
"01/25/2003","30","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","30","14","9","."
"01/26/2003","31","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","31","26","10","."
"01/27/2003","46","PM2.5","White Fish Dead End","30-029-0009","AQS","16","31","13","46"
"01/28/2003","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","30","19","."
"01/29/2003","31","PM10","White Fish Dead End","30-029-0009","AQS","18","14","31","."
"01/30/2003","32","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","15","19","13","32"
"01/31/2003","18","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","18","7","."
"02/01/2003","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","26","18","."
"02/02/2003","32","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","19","18","13","32"
"02/03/2003","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","26","9","."
"02/04/2003","17","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","17",".","9","."
