"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"07/26/2006","46","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","46","33","."
"07/27/2006","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","44","34","."
"07/28/2006","55","PM10","White Fish Dead End","30-029-0009","AQS",".",".","55","43"
"07/29/2006","45","PM10","White Fish Dead End","30-029-0009","AQS",".","42","45","."
"07/30/2006","22","PM10","Kalispell Flathead Electric","30-029-0047","AQS",".",".","22","."
"07/31/2006","42","PM2.5","White Fish Dead End","30-029-0009","AQS",".","33","37","42"
"08/01/2006","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","35","29","."
"08/02/2006","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","44","31","."
"08/03/2006","51","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","51","39","35"
"08/04/2006","90","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","90","32","."
"08/05/2006","49","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","49","40","."
"08/06/2006","69","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","9","49","38","69"
"08/07/2006","51","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","51","45","."
"08/08/2006","46","PM10","Kalispell Flathead Electric","30-029-0047","AQS","11",".","46","."
"08/09/2006","48","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","48","24","41"
"08/10/2006","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","37","28","."
"08/11/2006","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","37","13","."
"08/12/2006","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","29","12","21"
"08/13/2006","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","34","12","."
"08/14/2006","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","39","23","."
"08/15/2006","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","44","38","38"
"08/16/2006","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","37","26","."
"08/17/2006","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","43","20","."
"08/18/2006","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","44","26","35"
"08/19/2006","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","40","23","."
"08/20/2006","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","44","26","."
"08/21/2006","52","PM2.5","White Fish Dead End","30-029-0009","AQS","11","50","33","52"
"08/22/2006","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","44","41","."
"08/23/2006","64","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","64","44","."
"08/24/2006","47","PM2.5","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","42","39","47"
"08/25/2006","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","31","16","."
"08/26/2006","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","38","19","."
"08/27/2006","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","36","23","35"
"08/28/2006","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","43","34","."
"08/29/2006","48","PM10","Kalispell Flathead Electric","30-029-0047","AQS","13","46","48","."
"08/30/2006","58","PM2.5","White Fish Dead End","30-029-0009","AQS","7","33","28","58"
"08/31/2006","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","30","15","."
"09/01/2006","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","27","16","."
"09/02/2006","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","35","19","28"
"09/03/2006","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","41","27","."
"09/04/2006","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","36","32","."
"09/05/2006","74","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","16","44","48","74"
"09/06/2006","51","PM10","White Fish Dead End","30-029-0009","AQS","16","40","51","."
"09/07/2006","45","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","45","44","."
"09/08/2006","89","PM2.5","White Fish Dead End","30-029-0009","AQS","15","46","54","89"
"09/09/2006","45","PM10","White Fish Dead End","30-029-0009","AQS","15","43","45","."
"09/10/2006","40","PM10","Kalispell Flathead Electric","30-029-0047","AQS","10","40","40","."
