"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2002","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","24","8","."
"01/02/2002","47","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","22","16","11","47"
"01/03/2002","26","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","26","18","20","."
"01/04/2002","28","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","28","20","17","."
"01/05/2002","60","PM2.5","White Fish Dead End","30-029-0009","AQS","25","20","12","60"
"01/06/2002","23","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","23","17","12","."
"01/07/2002","39","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","39","22","27","."
"01/08/2002","33","PM2.5","White Fish Dead End","30-029-0009","AQS","16","26","7","33"
"01/09/2002","28","PM10","Kalispell Flathead Electric","30-029-0047","AQS","25","26","28","."
"01/10/2002","44","PM10","White Fish Dead End","30-029-0009","AQS","25","15","44","."
"01/11/2002","52","PM2.5","White Fish Dead End","30-029-0009","AQS","27","11","41","52"
"01/12/2002","27","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","27","24","7","."
"01/13/2002","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","28","12","."
"01/14/2002","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","31","24","29"
"01/15/2002","30","PM10","Kalispell Flathead Electric","30-029-0047","AQS","14","24","30","."
"01/16/2002","25","PM10","Kalispell Flathead Electric","30-029-0047","AQS","16","23","25","."
"01/17/2002","33","PM2.5","White Fish Dead End","30-029-0009","AQS","17","19","14","33"
"01/18/2002","20","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","20","20","8","."
"01/19/2002","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","24","6","."
"01/20/2002","35","PM2.5","White Fish Dead End","30-029-0009","AQS","13","29","6","35"
"01/21/2002","32","CO","Kalispell Flathead Electric","30-029-0047","AQS","32","30","11","."
"01/22/2002","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","31","8","."
"01/23/2002","34","PM2.5","White Fish Dead End","30-029-0009","AQS","15","31","6","34"
"01/24/2002","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","31","5","."
"01/25/2002","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","30","4","."
"01/26/2002","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","32","7","22"
"01/27/2002","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","31","8","."
"01/28/2002","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","29","7","."
"01/29/2002","48","PM2.5","White Fish Dead End","30-029-0009","AQS","14","27","13","48"
"01/30/2002","20","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","20","7","."
