"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2000","60","PM2.5","","30-029-0039","AQS","19","28","16","60"
"01/02/2000","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","29","12","."
"01/03/2000","40","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","40","28","9","."
"01/04/2000","40","PM2.5","","30-029-0039","AQS","32","30","8","40"
"01/05/2000","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","33","7","7"
"01/06/2000","40","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","40","35","11","."
"01/07/2000","51","PM2.5","","30-029-0039","AQS","35","34","14","51"
"01/08/2000","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","25","35","5","4"
"01/09/2000","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","37","6","."
"01/10/2000","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","38","24","32"
"01/11/2000","26","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","26",".","10","."
"01/12/2000","45","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","45","32","11","6"
"01/13/2000","45","PM2.5","","30-029-0039","AQS","35","26","11","45"
"01/14/2000","43","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","43","35","12","."
"01/15/2000","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","34","6","6"
"01/16/2000","40","PM2.5","","30-029-0039","AQS","17","32","7","40"
"01/17/2000","48","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","48","33","15","."
"01/18/2000","32","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","32","23","17","."
"01/19/2000","60","PM2.5","","30-029-0039","AQS","22","22","20","60"
"01/20/2000","28","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","28","18","9","."
"01/21/2000","36","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","36","19","14","."
"01/22/2000","68","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","36","26","16","68"
"01/23/2000","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","30","10","."
"01/24/2000","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","30","8","."
"01/25/2000","33","PM2.5","","30-029-0039","AQS","18","30","11","33"
"01/26/2000","43","PM2.5","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","19","16","43"
"01/27/2000","26","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","26","22","10","."
"01/28/2000","57","PM2.5","","30-029-0039","AQS","28","27","11","57"
"01/29/2000","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","26","6","20"
"01/30/2000","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","30","10","."
"01/31/2000","78","PM2.5","","30-029-0039","AQS","19","18","24","78"
"02/01/2000","34","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","34","31","15","."
"02/02/2000","41","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","41","30","10","7"
"02/03/2000","33","PM2.5","","30-029-0039","AQS","31","31","7","33"
"02/04/2000","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","27","13","."
"02/05/2000","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","30","9","12"
"02/06/2000","54","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","18","20","14","54"
"02/07/2000","23","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","23","17","15","."
"02/08/2000","28","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","28","10","11","."
"02/09/2000","56","PM2.5","","30-029-0039","AQS","33","34","13","56"
"02/10/2000","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","24","29","26","."
"02/11/2000","53","PM10","","30-029-0039","AQS","23","27","53","."
"02/12/2000","43","PM2.5","","30-029-0039","AQS","16","32","21","43"
"02/13/2000","25","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","25","14","."
"02/14/2000","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","35","12","."
"02/15/2000","49","PM2.5","","30-029-0039","AQS","41","31","11","49"
"02/16/2000","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","31","16","12"
"02/17/2000","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","31","16","."
"02/18/2000","38","PM2.5","","30-029-0039","AQS","31","38","28","38"
"02/19/2000","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","20","38","23","18"
"02/20/2000","35","PM10","","30-029-0039","AQS","20","33","35","."
"02/21/2000","92","PM2.5","","30-029-0039","AQS","32","24","48","92"
"02/22/2000","39","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","39","22","25","."
"02/23/2000","28","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","28","27","11","15"
"02/24/2000","38","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","38","29","6","20"
"02/25/2000","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","33","12","."
"02/26/2000","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","22","29","12","18"
"02/27/2000","49","PM2.5","","30-029-0039","AQS","16","19","9","49"
"02/28/2000","32","CO","IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION","30-029-0045","AQS","32","31","11","."
"02/29/2000","45","PM10","","30-029-0039","AQS","31","35","45","."
"03/01/2000","57","PM10","","30-029-0039","AQS","26","37","57","50"
"03/02/2000","58","PM10","","30-029-0039","AQS","9","37","58","."
"03/03/2000","57","PM10","","30-029-0039","AQS","14","39","57","."
"03/04/2000","42","PM2.5","","30-029-0039","AQS","14","26","16","42"
"03/05/2000","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","38","14","."
"03/06/2000","36","PM10","","30-029-0039","AQS","10","35","36","."
"03/07/2000","66","PM10","","30-029-0039","AQS","11","36","66","58"
"03/08/2000","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","35","30","18"
"03/09/2000","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","32","27","."
"03/10/2000","72","PM10","","30-029-0039","AQS","9","36","72","63"
"03/11/2000","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","35","19","13"
"03/12/2000","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","40","27","."
"03/13/2000","50","PM2.5","","30-029-0039","AQS","7","37","38","50"
"03/14/2000","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","38","23","."
"03/15/2000","64","PM10","","30-029-0039","AQS","6","37","64","15"
"03/16/2000","55","PM2.5","","30-029-0039","AQS","7","34","39","55"
"03/17/2000","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","37","16","."
"03/18/2000","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","36","24","16"
"03/19/2000","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","40","26","17"
"03/20/2000","55","PM10","","30-029-0039","AQS","5","41","55","."
"03/21/2000","65","PM10","","30-029-0039","AQS","7","39","65","."
"03/22/2000","57","PM10","","30-029-0039","AQS","8","32","57","37"
"03/23/2000","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","40","28","."
"03/24/2000","51","PM10","","30-029-0039","AQS","7","41","51","."
"03/25/2000","45","PM10","","30-029-0039","AQS","7","38","45","37"
"03/26/2000","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","43","42","."
"03/27/2000","53","PM10","","30-029-0039","AQS","6","44","53","."
"03/28/2000","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","33","10","17"
"03/29/2000","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","29","9","."
"03/30/2000","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","37","32","."
"03/31/2000","62","PM10","","30-029-0039","AQS","10","42","62","49"
"04/01/2000","48","PM10","","30-029-0039","AQS","13","40","48","."
"04/02/2000","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","41","20","."
"04/03/2000","43","PM10","","30-029-0039","AQS","7","39","43","32"
"04/04/2000","64","PM10","","30-029-0039","AQS","11","33","64","."
"04/05/2000","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","42","21","."
"04/06/2000","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","35","16","15"
"04/07/2000","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","43","33","."
"04/08/2000","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","42","34","."
"04/09/2000","40","PM2.5","","30-029-0039","AQS","9","38","31","40"
"04/10/2000","51","PM10","","30-029-0039","AQS","11","37","51","."
"04/11/2000","46","PM10","","30-029-0039","AQS","14","39","46","."
"04/12/2000","50","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","13","38","42","50"
"04/13/2000","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","38","15","."
"04/14/2000","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","37","7","."
"04/15/2000","58","PM2.5","","30-029-0039","AQS","22","29","23","58"
"04/16/2000","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","21","19","."
"04/17/2000","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","31","24","."
"04/18/2000","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","39","38","29"
"04/19/2000","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","41","37","."
"04/20/2000","48","PM10","","30-029-0039","AQS","11","45","48","."
"04/21/2000","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","39","31","29"
"04/22/2000","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","32","23","."
"04/23/2000","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","42","16","."
"04/24/2000","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","44","28","25"
"04/25/2000","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","38","21","."
"04/26/2000","48","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","48","20","."
"04/27/2000","28","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","17",".","28","28"
"04/28/2000","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","35","18","."
"04/29/2000","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","41","26","."
"04/30/2000","35","PM2.5","","30-029-0039","AQS","9",".","23","35"
