"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2005","39","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","9","25","12","39"
"01/02/2005","22","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","22","14","."
"01/03/2005","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","24","31","13","."
"01/04/2005","35","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","18","31","11","35"
"01/05/2005","23","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","23","19","."
"01/06/2005","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","24","30","18","."
"01/07/2005","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","31","13","25"
"01/08/2005","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","31","14","."
"01/09/2005","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","30","12","."
"01/10/2005","50","PM2.5","White Fish Dead End","30-029-0009","AQS","22","20","18","50"
"01/11/2005","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","30","16","."
"01/12/2005","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","20","31","12","."
"01/13/2005","52","PM2.5","White Fish Dead End","30-029-0009","AQS","19","30","16","52"
"01/14/2005","23","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","23","17","."
"01/15/2005","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","26","19","."
"01/16/2005","45","PM2.5","White Fish Dead End","30-029-0009","AQS","8","23","21","45"
"01/17/2005","21","PM10","Kalispell Flathead Electric","30-029-0047","AQS","8","17","21","."
"01/18/2005","31","CO","Kalispell Flathead Electric","30-029-0047","AQS","31","15","28","."
"01/19/2005","67","PM2.5","White Fish Dead End","30-029-0009","AQS","26","17","24","67"
