"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2004","44","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","16","31","18","44"
"01/02/2004","24","CO","Moose's","30-029-0010","AQS","24","19","12","."
"01/03/2004","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","32","10","."
"01/04/2004","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","32","13","21"
"01/05/2004","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","23","26","13","."
"01/06/2004","22","CO","Moose's","30-029-0010","AQS","22",".","10","."
"01/07/2004","38","PM2.5","White Fish Dead End","30-029-0009","AQS","22",".","23","38"
"01/08/2004","24","CO","Moose's","30-029-0010","AQS","24",".","18","."
"01/09/2004","36","CO","Moose's","30-029-0010","AQS","36",".","20","."
"01/10/2004","91","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","28",".","34","91"
"01/11/2004","26","CO","Moose's","30-029-0010","AQS","26",".","14","."
"01/12/2004","22","CO","Moose's","30-029-0010","AQS","22",".","7","."
"01/13/2004","69","PM2.5","White Fish Dead End","30-029-0009","AQS","28",".","18","69"
"01/14/2004","31","CO","Moose's","30-029-0010","AQS","31",".","22","."
"01/15/2004","26","CO","Moose's","30-029-0010","AQS","26",".","12","."
"01/16/2004","77","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","33",".","27","77"
"01/17/2004","30","CO","Moose's","30-029-0010","AQS","30",".","7","."
"01/18/2004","18","CO","Moose's","30-029-0010","AQS","18",".","5","."
"01/19/2004","65","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","23",".","16","65"
"01/20/2004","30","CO","Moose's","30-029-0010","AQS","30",".","16","."
"01/21/2004","26","CO","Moose's","30-029-0010","AQS","26",".","18","."
"01/22/2004","57","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","19",".","20","57"
"01/23/2004","18","CO","Moose's","30-029-0010","AQS","18",".","11","."
"01/24/2004","19","CO","Moose's","30-029-0010","AQS","19",".","13","."
"01/25/2004","38","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","13",".","11","38"
"01/26/2004","25","CO","Moose's","30-029-0010","AQS","25",".","19","."
"01/27/2004","8","PM10","White Fish Dead End","30-029-0009","AQS","6",".","8","."
"01/28/2004","62","PM2.5","White Fish Dead End","30-029-0009","AQS","25",".","12","62"
"01/29/2004","27","CO","Moose's","30-029-0010","AQS","27",".","9","."
"01/30/2004","15","CO","Moose's","30-029-0010","AQS","15",".","6","."
"01/31/2004","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","36","7","4"
"02/01/2004","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","32","22","."
"02/02/2004","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","23","33","15","."
"02/03/2004","45","PM2.5","White Fish Dead End","30-029-0009","AQS","19","28","44","45"
"02/04/2004","50","PM10","Kalispell Flathead Electric","30-029-0047","AQS","23","30","50","."
"02/05/2004","25","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","22","25","24","."
"02/06/2004","51","PM2.5","White Fish Dead End","30-029-0009","AQS","25","27","25","51"
"02/07/2004","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","31","11","."
"02/08/2004","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","32","8","."
"02/09/2004","51","PM2.5","White Fish Dead End","30-029-0009","AQS","18","33","16","51"
"02/10/2004","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","25","31","21","."
"02/11/2004","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","22","31","25","."
"02/12/2004","66","PM2.5","White Fish Dead End","30-029-0009","AQS","20","30","33","66"
"02/13/2004","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","29","25","."
"02/14/2004","28","PM10","Kalispell Flathead Electric","30-029-0047","AQS","20","19","28","."
"02/15/2004","152","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","20","23","55","152"
"02/16/2004","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","25","33","29","."
"02/17/2004","30","CO","Moose's","30-029-0010","AQS","30","20","13","."
"02/18/2004","55","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","27","24","16","55"
"02/19/2004","25","CO","Moose's","30-029-0010","AQS","25","24","16","."
"02/20/2004","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","31","26","."
"02/21/2004","39","PM2.5","White Fish Dead End","30-029-0009","AQS","22","34","29","39"
"02/22/2004","33","PM10","Kalispell Flathead Electric","30-029-0047","AQS","18","31","33","."
"02/23/2004","55","PM10","White Fish Dead End","30-029-0009","AQS","20","31","55","."
"02/24/2004","61","PM2.5","White Fish Dead End","30-029-0009","AQS","18","31","44","61"
"02/25/2004","51","PM10","Kalispell Flathead Electric","30-029-0047","AQS","26","34","51","."
"02/26/2004","45","PM10","Kalispell Flathead Electric","30-029-0047","AQS","27","28","45","."
"02/27/2004","45","PM2.5","White Fish Dead End","30-029-0009","AQS","22","34","44","45"
"02/28/2004","52","PM10","White Fish Dead End","30-029-0009","AQS","18","31","52","."
"02/29/2004","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","38","31","."
"03/01/2004","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","22","38","31","28"
"03/02/2004","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","20","33","23","."
"03/03/2004","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","39","31","."
"03/04/2004","37","PM2.5","White Fish Dead End","30-029-0009","AQS","18","32","8","37"
"03/05/2004","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","38","7","."
"03/06/2004","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","41","19","."
"03/07/2004","40","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","22","36","32","40"
"03/08/2004","46","PM10","White Fish Dead End","30-029-0009","AQS","18","29","46","."
"03/09/2004","55","PM10","White Fish Dead End","30-029-0009","AQS","16","33","55","."
"03/10/2004","66","PM10","White Fish Dead End","30-029-0009","AQS","16","44","66","47"
"03/11/2004","68","PM10","White Fish Dead End","30-029-0009","AQS","14","44","68","."
"03/12/2004","58","PM10","White Fish Dead End","30-029-0009","AQS","16","38","58","."
"03/13/2004","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","42","34","29"
"03/14/2004","44","PM10","White Fish Dead End","30-029-0009","AQS","13","39","44","."
"03/15/2004","59","PM10","White Fish Dead End","30-029-0009","AQS","18","38","59","."
"03/16/2004","61","PM2.5","White Fish Dead End","30-029-0009","AQS","16","33","61","61"
"03/17/2004","47","PM10","White Fish Dead End","30-029-0009","AQS","17","37","47","."
"03/18/2004","50","PM10","White Fish Dead End","30-029-0009","AQS","13","45","50","."
"03/19/2004","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","44","29","20"
"03/20/2004","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","44","24","."
"03/21/2004","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","41","33","."
"03/22/2004","59","PM2.5","White Fish Dead End","30-029-0009","AQS","13","40","55","59"
"03/23/2004","44","PM10","Kalispell Flathead Electric","30-029-0047","AQS","18","25","44","."
"03/24/2004","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","42","40","."
"03/25/2004","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","44","33","30"
"03/26/2004","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","40","20","."
"03/27/2004","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","32","19","."
"03/28/2004","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","41","24","36"
"03/29/2004","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","38","37","."
"03/30/2004","53","PM10","White Fish Dead End","30-029-0009","AQS","17",".","53","."
"03/31/2004","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","37","19","23"
"04/01/2004","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","3","43","14","."
"04/02/2004","50","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","50","26","."
"04/03/2004","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","43","28","39"
"04/04/2004","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","40","24","."
"04/05/2004","45","PM10","White Fish Dead End","30-029-0009","AQS","5","42","45","."
"04/06/2004","49","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","5","47","41","49"
"04/07/2004","54","PM10","White Fish Dead End","30-029-0009","AQS","5","47","54","."
"04/08/2004","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","34","20","."
