"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"09/13/2015","39","PM10","Kalispell Flathead Electric","30-029-0047","AQS","38","39","38"
"09/14/2015","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","41","34"
"09/15/2015","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","18","28"
"09/16/2015","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","21","30"
"09/17/2015","32","PM2.5","Flathead Valley","30-029-0049","AQS","32","19","32"
"09/18/2015","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","15","17"
"09/19/2015","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","16","21"
"09/20/2015","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","27","13","12"
"09/21/2015","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","24","21","20"
"09/22/2015","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","27","26","22"
"09/23/2015","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","31","29"
"09/24/2015","49","PM2.5","Flathead Valley","30-029-0049","AQS","32","39","49"
"09/25/2015","51","PM2.5","Flathead Valley","30-029-0049","AQS","32","40","51"
"09/26/2015","59","PM2.5","Flathead Valley","30-029-0049","AQS","31","36","59"
"09/27/2015","48","PM2.5","Flathead Valley","30-029-0049","AQS","36","25","48"
"09/28/2015","46","PM2.5","Flathead Valley","30-029-0049","AQS","32","28","46"
"09/29/2015","55","PM2.5","Flathead Valley","30-029-0049","AQS","36","34","55"
"09/30/2015","64","PM2.5","Flathead Valley","30-029-0049","AQS","31","44","64"
"10/01/2015","50","PM2.5","Flathead Valley","30-029-0049","AQS","28","39","50"
"10/02/2015","44","PM10","Kalispell Flathead Electric","30-029-0047","AQS","36","44","."
"10/03/2015","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","27","18","2"
"10/04/2015","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","27","14","."
"10/05/2015","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","21","."
"10/06/2015","33","PM10","Kalispell Flathead Electric","30-029-0047","AQS","26","33","."
"10/07/2015","45","PM10","Kalispell Flathead Electric","30-029-0047","AQS","32","45","."
"10/08/2015","43","PM2.5","Flathead Valley","30-029-0049","AQS","19","26","43"
"10/09/2015","35","PM2.5","Flathead Valley","30-029-0049","AQS","25","29","35"
"10/10/2015","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","20","24"
"10/11/2015","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","15","18"
"10/12/2015","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","17","26"
"10/13/2015","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","27","29"
"10/14/2015","35","PM2.5","Flathead Valley","30-029-0049","AQS","34","20","35"
"10/15/2015","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","27","23"
"10/16/2015","40","PM2.5","Flathead Valley","30-029-0049","AQS","28","31","40"
"10/17/2015","44","PM2.5","Flathead Valley","30-029-0049","AQS","28","31","44"
"10/18/2015","65","PM2.5","Flathead Valley","30-029-0049","AQS","18","34","65"
"10/19/2015","61","PM2.5","Flathead Valley","30-029-0049","AQS","24","34","61"
"10/20/2015","28","PM2.5","Flathead Valley","30-029-0049","AQS","24","21","28"
"10/21/2015","40","PM2.5","Flathead Valley","30-029-0049","AQS","14","21","40"
"10/22/2015","38","PM2.5","Flathead Valley","30-029-0049","AQS","22","24","38"
"10/23/2015","40","PM2.5","Flathead Valley","30-029-0049","AQS","27","28","40"
"10/24/2015","42","PM2.5","Flathead Valley","30-029-0049","AQS","23","21","42"
"10/25/2015","30","PM2.5","Flathead Valley","30-029-0049","AQS","29","19","30"
"10/26/2015","32","PM2.5","Flathead Valley","30-029-0049","AQS","19","21","32"
"10/27/2015","17","PM10","White Fish Dead End","30-029-0009","AQS","17","17","12"
"10/28/2015","21","PM10","Kalispell Flathead Electric","30-029-0047","AQS","20","21","."
"10/29/2015","47","PM2.5","Flathead Valley","30-029-0049","AQS","11","19","47"
"10/30/2015","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","24","13","18"
"10/31/2015","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","12","20"
"11/01/2015","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","10","10"
"11/02/2015","25","PM2.5","Flathead Valley","30-029-0049","AQS","25","20","25"
"11/03/2015","29","PM2.5","Flathead Valley","30-029-0049","AQS","24","19","29"
"11/04/2015","40","PM2.5","Flathead Valley","30-029-0049","AQS","26","26","40"
"11/05/2015","56","PM2.5","Flathead Valley","30-029-0049","AQS","23","25","56"
"11/06/2015","64","PM2.5","Flathead Valley","30-029-0049","AQS","18","40","64"
"11/07/2015","46","PM2.5","Flathead Valley","30-029-0049","AQS","27","25","46"
"11/08/2015","51","PM2.5","Flathead Valley","30-029-0049","AQS","12","19","51"
"11/09/2015","20","PM2.5","Flathead Valley","30-029-0049","AQS","19","17","20"
"11/10/2015","55","PM2.5","Flathead Valley","30-029-0049","AQS","17","44","55"
"11/11/2015","35","PM2.5","Flathead Valley","30-029-0049","AQS","28","21","35"
"11/12/2015","42","PM2.5","Flathead Valley","30-029-0049","AQS",".","30","42"
"11/13/2015","25","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","25","13","9"
"11/14/2015","27","PM2.5","Flathead Valley","30-029-0049","AQS","26","23","27"
"11/15/2015","61","PM2.5","Flathead Valley","30-029-0049","AQS","19","42","61"
"11/16/2015","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","19","14"
"11/17/2015","16","PM10","Kalispell Flathead Electric","30-029-0047","AQS",".","16","15"
"11/18/2015","17","PM10","Kalispell Flathead Electric","30-029-0047","AQS",".","17","15"
"11/19/2015","46","PM2.5","Flathead Valley","30-029-0049","AQS","28","38","46"
"11/20/2015","40","PM2.5","Flathead Valley","30-029-0049","AQS","32","28","40"
"11/21/2015","74","PM2.5","Flathead Valley","30-029-0049","AQS","31","35","74"
"11/22/2015","89","PM2.5","Flathead Valley","30-029-0049","AQS","21","44","89"
"11/23/2015","111","PM2.5","Flathead Valley","30-029-0049","AQS","21","69","111"
"11/24/2015","55","PM2.5","Flathead Valley","30-029-0049","AQS","30","34","55"
"11/25/2015","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","20","30"
"11/26/2015","60","PM2.5","Flathead Valley","30-029-0049","AQS","24","20","60"
"11/27/2015","44","PM2.5","Flathead Valley","30-029-0049","AQS","24","16","44"
"11/28/2015","43","PM2.5","Flathead Valley","30-029-0049","AQS","20","16","43"
"11/29/2015","22","PM2.5","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","21","22"
"11/30/2015","19","PM10","White Fish Dead End","30-029-0009","AQS","19","19","."
"12/01/2015","56","PM2.5","Flathead Valley","30-029-0049","AQS","19","17","56"
"12/02/2015","73","PM2.5","Flathead Valley","30-029-0049","AQS","15","28","73"
"12/03/2015","91","PM2.5","Flathead Valley","30-029-0049","AQS","12","34","91"
"12/04/2015","42","PM2.5","Flathead Valley","30-029-0049","AQS","20","21","42"
"12/05/2015","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","13","4"
"12/06/2015","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","16","19"
"12/07/2015","8","PM10","Kalispell Flathead Electric","30-029-0047","AQS",".","8","2"
"12/08/2015","25","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","25","12","3"
"12/09/2015","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","10","."
"12/10/2015","19","PM10","Kalispell Flathead Electric","30-029-0047","AQS","18","19","7"
"12/11/2015","20","PM2.5","Flathead Valley","30-029-0049","AQS","19","16","20"
"12/12/2015","30","PM2.5","Flathead Valley","30-029-0049","AQS","23","13","30"
"12/13/2015","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","11","19"
"12/14/2015","29","PM2.5","Flathead Valley","30-029-0049","AQS","23","21","29"
"12/15/2015","39","PM10","Kalispell Flathead Electric","30-029-0047","AQS","19","39","22"
"12/16/2015","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","13","19"
"12/17/2015","34","PM2.5","Flathead Valley","30-029-0049","AQS","20","15","34"
"12/18/2015","31","PM2.5","Flathead Valley","30-029-0049","AQS","14","15","31"
"12/19/2015","23","PM2.5","Flathead Valley","30-029-0049","AQS","20","20","23"
"12/20/2015","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","24","13","3"
"12/21/2015","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","12","."
"12/22/2015","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","27","12","10"
"12/23/2015","38","PM2.5","Flathead Valley","30-029-0049","AQS","23","14","38"
"12/24/2015","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","15","15"
"12/25/2015","31","PM2.5","Flathead Valley","30-029-0049","AQS","21","16","31"
"12/26/2015","63","PM2.5","Flathead Valley","30-029-0049","AQS","23","19","63"
"12/27/2015","59","PM2.5","Flathead Valley","30-029-0049","AQS","24","16","59"
"12/28/2015","56","PM2.5","Flathead Valley","30-029-0049","AQS","25","16","56"
"12/29/2015","47","PM2.5","Flathead Valley","30-029-0049","AQS","25","13","47"
"12/30/2015","40","PM2.5","Flathead Valley","30-029-0049","AQS","22","10","40"
"12/31/2015","28","PM2.5","Flathead Valley","30-029-0049","AQS","24","9","28"
