"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"05/04/2015","49","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","49","35","20"
"05/05/2015","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","27","39"
"05/06/2015","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","25","18"
"05/07/2015","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","25","15"
"05/08/2015","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","21","14"
"05/09/2015","49","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","49","22","20"
"05/10/2015","64","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","64","19","26"
"05/11/2015","72","PM10","Flathead Valley","30-029-0049","AQS","47","72","32"
"05/12/2015","51","PM10","Flathead Valley","30-029-0049","AQS","44","51","34"
"05/13/2015","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","42","22","29"
"05/14/2015","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","19","15"
"05/15/2015","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","18","8"
"05/16/2015","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","26","12"
"05/17/2015","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","15","11"
"05/18/2015","46","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","46","18","13"
"05/19/2015","21","PM10","Flathead Valley","30-029-0049","AQS",".","21","17"
"05/20/2015","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","23","15"
"05/21/2015","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","31","16"
"05/22/2015","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","25","13"
"05/23/2015","49","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","49","25","13"
"05/24/2015","54","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","54","20","20"
"05/25/2015","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","19","30"
"05/26/2015","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","42","19","22"
"05/27/2015","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","19","21"
"05/28/2015","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","33","31","30"
"05/29/2015","46","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","46","21","30"
"05/30/2015","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","17","27"
"05/31/2015","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","19","19"
"06/01/2015","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","20","24"
"06/02/2015","23","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","23","12","14"
"06/03/2015","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","18","15"
"06/04/2015","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","16","12"
"06/05/2015","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","21","16"
"06/06/2015","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","33","22","24"
"06/07/2015","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","25","32"
"06/08/2015","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","31","33"
"06/09/2015","48","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","48","31","."
"06/10/2015","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","33","."
"06/11/2015","49","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","49","41","30"
"06/12/2015","58","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","58","44","21"
"06/13/2015","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","16","13"
"06/14/2015","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","20","14"
"06/15/2015","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","19","19"
"06/16/2015","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","27","27"
"06/17/2015","45","PM2.5","Flathead Valley","30-029-0049","AQS","39","30","45"
"06/18/2015","48","PM2.5","Flathead Valley","30-029-0049","AQS","44","27","48"
"06/19/2015","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","31","24"
"06/20/2015","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","20","18"
"06/21/2015","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","22","19"
"06/22/2015","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","42","22","26"
"06/23/2015","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","23","27"
"06/24/2015","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","28","32"
"06/25/2015","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","34","39"
"06/26/2015","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","31","33"
"06/27/2015","43","PM2.5","Flathead Valley","30-029-0049","AQS","43","31","43"
"06/28/2015","64","PM2.5","Flathead Valley","30-029-0049","AQS","42","32","64"
"06/29/2015","59","PM2.5","Flathead Valley","30-029-0049","AQS","32","46","59"
"06/30/2015","34","PM10","Kalispell Flathead Electric","30-029-0047","AQS","32","34","31"
"07/01/2015","42","PM2.5","Flathead Valley","30-029-0049","AQS","39","30","42"
"07/02/2015","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","34","39"
"07/03/2015","51","PM2.5","Flathead Valley","30-029-0049","AQS","45","32","51"
"07/04/2015","46","PM10","Kalispell Flathead Electric","30-029-0047","AQS","44","46","40"
"07/05/2015","46","PM2.5","Flathead Valley","30-029-0049","AQS","31","31","46"
"07/06/2015","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","25","25"
"07/07/2015","70","PM2.5","Flathead Valley","30-029-0049","AQS",".","39","70"
"07/08/2015","58","PM2.5","Flathead Valley","30-029-0049","AQS","46","38","58"
"07/09/2015","57","PM2.5","Flathead Valley","30-029-0049","AQS","44","39","57"
